ID,項,レースID,レース名,距離,天候,馬場,開催年,開催コース,開催回,開催日,レースタイプ,No,グレード
1,0,202406010101,3歳未勝利,1200,晴,良,2024,中山,1,2024-01-06,ダート,,
2,0,202406010102,3歳未勝利,1800,晴,良,2024,中山,2,2024-01-06,ダート,,
3,0,202406010103,3歳新馬,1200,晴,良,2024,中山,3,2024-01-06,ダート,,
4,0,202406010104,3歳新馬,1800,晴,良,2024,中山,4,2024-01-06,ダート,,
5,0,202406010105,3歳未勝利,2000,晴,良,2024,中山,5,2024-01-06,芝,,
6,0,202406010106,4歳以上1勝クラス,2400,晴,良,2024,中山,6,2024-01-06,ダート,,
7,0,202406010107,3歳1勝クラス,1200,晴,良,2024,中山,7,2024-01-06,芝,,
8,0,202406010108,4歳以上1勝クラス,1800,晴,良,2024,中山,8,2024-01-06,ダート,,
9,0,202406010109,迎春ステークス,2200,晴,良,2024,中山,9,2024-01-06,芝,,
10,0,202406010110,ジュニアカップ,1600,晴,良,2024,中山,10,2024-01-06,芝,,
11,0,202406010111,中山金杯,2000,晴,良,2024,中山,11,2024-01-06,芝,,G3
12,0,202406010112,4歳以上2勝クラス,1800,晴,良,2024,中山,12,2024-01-06,ダート,,
13,0,202408010101,3歳未勝利,1800,晴,良,2024,京都,1,2024-01-06,ダート,,
14,0,202408010102,3歳未勝利,1900,晴,良,2024,京都,2,2024-01-06,ダート,,
15,0,202408010103,3歳未勝利,1400,晴,良,2024,京都,3,2024-01-06,ダート,,
16,0,202408010104,3歳新馬,1800,晴,良,2024,京都,4,2024-01-06,ダート,,
17,0,202408010105,3歳未勝利,1800,曇,良,2024,京都,5,2024-01-06,芝,,
18,0,202408010106,3歳1勝クラス,1200,曇,良,2024,京都,6,2024-01-06,芝,,
19,0,202408010107,4歳以上1勝クラス,1800,曇,良,2024,京都,7,2024-01-06,ダート,,
20,0,202408010108,4歳以上2勝クラス,1200,曇,良,2024,京都,8,2024-01-06,ダート,,
21,0,202408010109,門松ステークス,1400,曇,良,2024,京都,9,2024-01-06,ダート,,
22,0,202408010110,万葉ステークス,3000,晴,良,2024,京都,10,2024-01-06,芝,,
23,0,202408010111,京都金杯,1600,晴,良,2024,京都,11,2024-01-06,芝,,G3
24,0,202408010112,4歳以上1勝クラス,1800,曇,良,2024,京都,12,2024-01-06,芝,,
25,0,202406010201,3歳未勝利,1200,曇,良,2024,中山,1,2024-01-07,ダート,,
26,0,202406010202,3歳未勝利,1800,曇,良,2024,中山,2,2024-01-07,ダート,,
27,0,202406010203,3歳未勝利,1800,曇,良,2024,中山,3,2024-01-07,ダート,,
28,0,202406010204,障害4歳以上未勝利,2880,曇,良  ダート,2024,中山,4,2024-01-07,障害,,
29,0,202406010205,3歳未勝利,1600,曇,良,2024,中山,5,2024-01-07,芝,,
30,0,202406010206,3歳新馬,2000,曇,良,2024,中山,6,2024-01-07,芝,,
31,0,202406010207,3歳1勝クラス,1800,曇,良,2024,中山,7,2024-01-07,ダート,,
32,0,202406010208,4歳以上1勝クラス,1800,晴,良,2024,中山,8,2024-01-07,ダート,,
33,0,202406010209,初日の出賞,2000,晴,良,2024,中山,9,2024-01-07,芝,,
34,0,202406010210,ポルックスステークス,1800,曇,良,2024,中山,10,2024-01-07,ダート,,
35,0,202406010211,フェアリーステークス,1600,曇,良,2024,中山,11,2024-01-07,芝,,G3
36,0,202406010212,4歳以上2勝クラス,1200,曇,良,2024,中山,12,2024-01-07,ダート,,
37,0,202408010201,3歳未勝利,1800,晴,良,2024,京都,1,2024-01-07,ダート,,
38,0,202408010202,3歳新馬,1800,晴,良,2024,京都,2,2024-01-07,ダート,,
39,0,202408010203,3歳未勝利,1400,晴,良,2024,京都,3,2024-01-07,ダート,,
40,0,202408010204,4歳以上1勝クラス,1200,晴,良,2024,京都,4,2024-01-07,ダート,,
41,0,202408010205,3歳未勝利,1600,晴,良,2024,京都,5,2024-01-07,芝,,
42,0,202408010206,3歳1勝クラス,2000,晴,良,2024,京都,6,2024-01-07,芝,,
43,0,202408010207,4歳以上1勝クラス,1900,晴,良,2024,京都,7,2024-01-07,ダート,,
44,0,202408010208,4歳以上2勝クラス,1400,晴,良,2024,京都,8,2024-01-07,ダート,,
45,0,202408010209,琵琶湖特別,2400,晴,良,2024,京都,9,2024-01-07,芝,,
46,0,202408010210,新春ステークス,1400,晴,良,2024,京都,10,2024-01-07,芝,,
47,0,202408010211,すばるステークス,1400,晴,良,2024,京都,11,2024-01-07,ダート,,
48,0,202408010212,4歳以上2勝クラス,1200,晴,良,2024,京都,12,2024-01-07,芝,,
49,0,202406010301,3歳未勝利,1200,晴,良,2024,中山,1,2024-01-08,ダート,,
50,0,202406010302,3歳未勝利,1800,晴,良,2024,中山,2,2024-01-08,ダート,,
51,0,202406010303,3歳未勝利,1800,晴,良,2024,中山,3,2024-01-08,ダート,,
52,0,202406010304,3歳新馬,1800,晴,良,2024,中山,4,2024-01-08,ダート,,
53,0,202406010305,3歳新馬,1600,晴,良,2024,中山,5,2024-01-08,芝,,
54,0,202406010306,3歳1勝クラス,2000,晴,良,2024,中山,6,2024-01-08,芝,,
55,0,202406010307,4歳以上1勝クラス,1200,晴,良,2024,中山,7,2024-01-08,ダート,,
56,0,202406010308,中山新春ジャンプS,3200,晴,良  ダート,2024,中山,8,2024-01-08,障害,,
57,0,202406010309,成田特別,2400,晴,良,2024,中山,9,2024-01-08,ダート,,
58,0,202406010310,招福ステークス,1800,晴,良,2024,中山,10,2024-01-08,ダート,,
59,0,202406010311,カーバンクルS,1200,晴,良,2024,中山,11,2024-01-08,芝,,
60,0,202406010312,4歳以上2勝クラス,1600,晴,良,2024,中山,12,2024-01-08,芝,,
61,0,202408010301,3歳未勝利,1200,晴,良,2024,京都,1,2024-01-08,ダート,,
62,0,202408010302,3歳未勝利,1800,晴,良,2024,京都,2,2024-01-08,ダート,,
63,0,202408010303,3歳新馬,1200,晴,良,2024,京都,3,2024-01-08,ダート,,
64,0,202408010304,3歳1勝クラス,1800,晴,良,2024,京都,4,2024-01-08,ダート,,
65,0,202408010305,3歳新馬,1800,晴,良,2024,京都,5,2024-01-08,芝,,
66,0,202408010306,3歳未勝利,2200,晴,良,2024,京都,6,2024-01-08,芝,,
67,0,202408010307,4歳以上1勝クラス,1800,晴,良,2024,京都,7,2024-01-08,ダート,,
68,0,202408010308,4歳以上1勝クラス,1400,晴,良,2024,京都,8,2024-01-08,ダート,,
69,0,202408010309,蹴上特別,1800,晴,良,2024,京都,9,2024-01-08,ダート,,
70,0,202408010310,寿ステークス,2000,晴,良,2024,京都,10,2024-01-08,芝,,
71,0,202408010311,シンザン記念,1600,晴,良,2024,京都,11,2024-01-08,芝,,G3
72,0,202408010312,4歳以上2勝クラス,1600,晴,良,2024,京都,12,2024-01-08,芝,,
73,0,202406010401,3歳未勝利,1200,晴,良,2024,中山,1,2024-01-13,ダート,,
74,0,202406010402,3歳未勝利,1800,晴,良,2024,中山,2,2024-01-13,ダート,,
75,0,202406010403,3歳未勝利,1200,晴,良,2024,中山,3,2024-01-13,ダート,,
76,0,202406010404,3歳新馬,1800,晴,良,2024,中山,4,2024-01-13,ダート,,
77,0,202406010405,3歳新馬,1600,晴,良,2024,中山,5,2024-01-13,芝,,
78,0,202406010406,3歳未勝利,2000,晴,良,2024,中山,6,2024-01-13,芝,,
79,0,202406010407,4歳以上1勝クラス,1800,曇,良,2024,中山,7,2024-01-13,ダート,,
80,0,202406010408,4歳以上2勝クラス,1200,曇,良,2024,中山,8,2024-01-13,ダート,,
81,0,202406010409,菜の花賞,1600,曇,良,2024,中山,9,2024-01-13,芝,,
82,0,202406010410,初春ステークス,1200,曇,良,2024,中山,10,2024-01-13,ダート,,
83,0,202406010411,ニューイヤーS,1600,曇,良,2024,中山,11,2024-01-13,芝,,
84,0,202406010412,4歳以上2勝クラス,1200,小雨,良,2024,中山,12,2024-01-13,芝,,
